"No.","Time","Source","Destination","Protocol","Length","Info"
"46834","1263.031955612","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:916::","QUIC","764","Protected Payload (KP0), DCID=d99b272180d98571"
"46835","1263.115042938","2600:1901:1:916::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","90","Protected Payload (KP0)"
"46836","1263.123539668","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:916::","QUIC","95","Protected Payload (KP0), DCID=d99b272180d98571"
"46837","1263.182258812","2600:1901:1:916::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","87","Protected Payload (KP0)"
"46838","1263.226021885","2600:1901:1:916::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","87","Protected Payload (KP0)"
"46839","1263.423630878","2600:1901:1:916::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","129","Protected Payload (KP0)"
"46840","1263.423631247","2600:1901:1:916::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","188","Protected Payload (KP0)"
"46841","1263.424023937","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:916::","QUIC","98","Protected Payload (KP0), DCID=d99b272180d98571"
"46842","1263.432969878","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:916::","QUIC","95","Protected Payload (KP0), DCID=d99b272180d98571"
"46843","1263.484933240","2404:6800:4007:80a::200a","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","99","Protected Payload (KP0)"
"46844","1263.484933541","2404:6800:4007:80a::200a","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","97","Protected Payload (KP0)"
"46845","1263.484982091","2404:6800:4007:80a::200a","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","148","Protected Payload (KP0)"
"46846","1263.492587355","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4007:80a::200a","QUIC","95","Protected Payload (KP0), DCID=dc8a55243179b213"
"46847","1263.496131769","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4007:80a::200a","QUIC","324","Protected Payload (KP0), DCID=dc8a55243179b213"
"46848","1263.500817722","2600:1901:1:916::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","87","Protected Payload (KP0)"
"46849","1263.530192489","2404:6800:4007:80a::200a","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","91","Protected Payload (KP0)"
"46850","1263.545008392","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4007:80a::200a","QUIC","95","Protected Payload (KP0), DCID=dc8a55243179b213"
"46851","1263.594510593","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4007:82a::2001","TCP","86","[TCP Keep-Alive] 44532  >  443 [ACK] Seq=1197 Ack=9110 Win=64256 Len=0 TSval=1456941002 TSecr=2178411184"
"46852","1263.655897041","2404:6800:4007:82a::2001","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","[TCP Keep-Alive ACK] 443  >  44532 [ACK] Seq=9110 Ack=1198 Win=67840 Len=0 TSval=2178456255 TSecr=1456895954"
"46853","1263.838482460","2404:6800:4007:80a::200a","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","165","Protected Payload (KP0)"
"46854","1263.838879852","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4007:80a::200a","QUIC","99","Protected Payload (KP0), DCID=dc8a55243179b213"
"46855","1263.892472154","2404:6800:4007:80a::200a","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","87","Protected Payload (KP0)"
"46856","1264.517797039","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:c36::","QUIC","182","Protected Payload (KP0), DCID=d3a44d1c97f02a8e"
"46857","1264.573307924","2600:1901:1:c36::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","94","Protected Payload (KP0)"
"46858","1264.581766113","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:c36::","QUIC","95","Protected Payload (KP0), DCID=d3a44d1c97f02a8e"
"46859","1264.661430117","2600:1901:1:c36::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","130","Protected Payload (KP0)"
"46860","1264.661664734","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:c36::","QUIC","101","Protected Payload (KP0), DCID=d3a44d1c97f02a8e"
"46861","1264.705469613","2600:1901:1:c36::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","88","Protected Payload (KP0)"
"46862","1265.068972260","fe80::8860:e9ff:fe59:2cd5","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","ICMPv6","86","Neighbor Solicitation for 2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236 from 8a:60:e9:59:2c:d5"
"46863","1265.069023431","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","fe80::8860:e9ff:fe59:2cd5","ICMPv6","78","Neighbor Advertisement 2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236 (sol)"
"46864","1265.074650173","192.168.239.67","224.0.0.251","MDNS","103","Standard query 0x0033 PTR _CA5E8412._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"46865","1266.910354090","64:ff9b::23f4:b486","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TLSv1.2","110","Application Data"
"46866","1266.910639338","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","64:ff9b::23f4:b486","TLSv1.2","114","Application Data"
"46867","1266.977488909","64:ff9b::23f4:b486","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","443  >  36094 [ACK] Seq=1033 Ack=1205 Win=562 Len=0 TSval=1302169443 TSecr=2530419871"
"46868","1267.618491661","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2a04:4e42:25::760","TCP","86","[TCP Keep-Alive] 59286  >  443 [ACK] Seq=1537 Ack=400248 Win=726144 Len=0 TSval=3758375542 TSecr=463349867"
"46869","1267.700278588","2a04:4e42:25::760","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","[TCP Keep-Alive ACK] 443  >  59286 [ACK] Seq=400248 Ack=1538 Win=147456 Len=0 TSval=463394953 TSecr=3758238662"
"46870","1268.236506638","64:ff9b::23f4:b486","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TLSv1.2","110","Application Data"
"46871","1268.236802144","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","64:ff9b::23f4:b486","TLSv1.2","114","Application Data"
"46872","1268.311830102","64:ff9b::23f4:b486","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","443  >  41388 [ACK] Seq=1033 Ack=1205 Win=648 Len=0 TSval=1099605293 TSecr=2530421197"
"46873","1269.254928935","192.168.239.25","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"46874","1269.255129772","fe80::51d3:b2a2:ee86:8fe3","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"46875","1269.255149798","fe80::51d3:b2a2:ee86:8fe3","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"46876","1269.255171273","fe80::51d3:b2a2:ee86:8fe3","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"46877","1271.060384622","192.168.239.25","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"46878","1271.411009070","2404:6800:4007:80a::200a","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","99","Protected Payload (KP0)"
"46879","1271.425169697","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4007:80a::200a","QUIC","95","Protected Payload (KP0), DCID=dc8a55243179b213"
"46880","1272.060654219","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:c36::","QUIC","1287","Protected Payload (KP0), DCID=d3a44d1c97f02a8e"
"46881","1272.060715247","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:c36::","QUIC","1125","Protected Payload (KP0), DCID=d3a44d1c97f02a8e"
"46882","1272.225754383","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:c36::","QUIC","1287","Protected Payload (KP0), DCID=d3a44d1c97f02a8e"
"46883","1272.227238024","2600:1901:1:c36::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","94","Protected Payload (KP0)"
"46884","1272.235651572","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:c36::","QUIC","95","Protected Payload (KP0), DCID=d3a44d1c97f02a8e"
"46885","1272.315579240","2600:1901:1:c36::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","88","Protected Payload (KP0)"
"46886","1272.340309357","2600:1901:1:c36::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","89","Protected Payload (KP0)"
"46887","1272.350030106","35.174.127.31","192.168.239.25","TLSv1.2","104","Application Data"
"46888","1272.350072600","192.168.239.25","35.174.127.31","TCP","66","38716  >  443 [ACK] Seq=4498 Ack=7249 Win=64128 Len=0 TSval=3903760800 TSecr=226166137"
"46889","1272.405161427","34.237.73.95","192.168.239.25","TLSv1.2","104","Application Data"
"46890","1272.405198610","192.168.239.25","34.237.73.95","TCP","66","47928  >  443 [ACK] Seq=4693 Ack=6988 Win=64128 Len=0 TSval=2779347567 TSecr=1602155627"
"46891","1272.497531931","2600:1901:1:c36::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","138","Protected Payload (KP0)"
"46892","1272.497858617","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:c36::","QUIC","101","Protected Payload (KP0), DCID=d3a44d1c97f02a8e"
"46893","1272.742048728","2600:1901:1:c36::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","QUIC","88","Protected Payload (KP0)"
"46894","1272.751971846","192.168.239.25","239.255.255.250","SSDP","210","M-SEARCH * HTTP/1.1 "
